39323,ZCTA_NEAREST_ACTIVE_OUTLET,MS0023,004,20.348,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39324,ZCTA_NEAREST_ACTIVE_OUTLET,MS8002,001,12.380,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39325,ZCTA_NEAREST_ACTIVE_OUTLET,MS0023,002,22.584,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39326,ZCTA_NEAREST_ACTIVE_OUTLET,MS0023,006,18.256,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39327,EXACT_IMLS_OUTLET_ZIP,MS0023,004,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
39328,EXACT_IMLS_OUTLET_ZIP,MS0023,006,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
39330,EXACT_IMLS_OUTLET_ZIP,MS0010,005,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
39332,ZCTA_NEAREST_ACTIVE_OUTLET,MS0023,007,15.782,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39335,ZCTA_NEAREST_ACTIVE_OUTLET,AL0151,002,19.228,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39336,ZCTA_NEAREST_ACTIVE_OUTLET,MS0006,010,7.796,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39337,ZCTA_NEAREST_ACTIVE_OUTLET,MS0023,002,12.877,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39338,ZCTA_NEAREST_ACTIVE_OUTLET,MS0010,003,15.889,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
39339,EXACT_IMLS_OUTLET_ZIP,MS0033,014,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
