state,state_name,rank_in_state,geo_id,place_name,place_fips,pop_acs2024_5yr_b01003,ranking_universe,vintage2025_sanity,test_zcta,test_zcta_distance_km,place_intpt_lat,place_intpt_lon,zcta_method,zcta_flag,nearest_outlet_fscskey,nearest_outlet_name,nearest_outlet_km,destination_url,destination_class,destination_handoff,destination_provenance,destination_rights,destination_check_date
AZ,Arizona,1,1600000US0455000,"Phoenix city, Arizona",55000,1642323,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,85021,1.311,33.572154,-112.090132,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AZ0035,ACACIA LIBRARY,2.587,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
AZ,Arizona,2,1600000US0477000,"Tucson city, Arizona",77000,547073,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,85708,2.738,32.152831,-110.87075,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AZ0064,ECKSTROM-COLUMBUS BRANCH LIBRARY,6.625,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
AZ,Arizona,3,1600000US0446000,"Mesa city, Arizona",46000,511764,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,85206,0.219,33.399355,-111.715968,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AZ0034,CITY OF MESA RED MOUNTAIN LIBRARY,4.287,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
CA,California,1,1600000US0644000,"Los Angeles city, California",44000,3857263,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,90034,1.617,34.019394,-118.410825,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CA0063,PALMS-RANCHO PARK BRANCH,1.703,https://www.library.ca.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,California State Library official homepage.,PUBLIC_USE,2026-09-12
CA,California,2,1600000US0666000,"San Diego city, California",66000,1389526,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,92123,2.622,32.830391,-117.120923,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CA0113,TIERRASANTA BRANCH LIBRARY,2.403,https://www.library.ca.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,California State Library official homepage.,PUBLIC_USE,2026-09-12
CA,California,3,1600000US0668000,"San Jose city, California",68000,990138,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,95121,1.046,37.296011,-121.814552,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CA0115,SEVEN TREES BRANCH LIBRARY,2.061,https://www.library.ca.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,California State Library official homepage.,PUBLIC_USE,2026-09-12
CO,Colorado,1,1600000US0820000,"Denver city, Colorado",20000,718877,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,80238,1.738,39.76185,-104.881105,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CO0034,SAM GARY BRANCH LIBRARY,1.695,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
CO,Colorado,2,1600000US0816000,"Colorado Springs city, Colorado",16000,487887,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,80909,2.012,38.867255,-104.760749,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CO0096,RUTH HOLLEY LIBRARY,2.991,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
CO,Colorado,3,1600000US0804000,"Aurora city, Colorado",04000,394432,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,80018,1.527,39.688296,-104.6894,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CO0005,SMOKY HILL PUBLIC LIBRARY,10.327,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
CT,Connecticut,1,1600000US0908000,"Bridgeport city, Connecticut",08000,149153,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,06608,1.218,41.187393,-73.195757,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,CT0016,EAST SIDE BRANCH LIBRARY,1.323,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
